A,B,C,D
371,742,371,239
375,375,750,334
872,1744,872,678
1502,751,751,85
1823,1915,1939,427
721,721,721,1230
670,335,335,701
1504,66,1877,432
437,437,874,1238
374,719,532,907
461,461,922,1835
1159,856,1360,164
812,812,1624,1407
1219,1219,1219,682
733,1810,1105,1514
1783,1079,1817,571
271,874,358,1446
445,1665,152,1065
771,1542,771,1015
1402,701,701,221
114,114,114,1405
466,1811,1896,1599
781,334,1841,21
1987,374,602,1301
656,1974,1764,1775
565,1130,565,861
901,1802,901,994
429,1493,879,428
1944,1917,910,1935
222,1051,1931,773
937,955,486,1200
249,814,1090,27
440,728,422,110
536,536,1072,1672
605,1588,1832,662
328,1894,265,255
1498,1361,148,1912
75,1891,1321,5
1426,12,940,1368
1142,571,571,1647
1655,436,1618,1886
1513,95,796,1339
283,861,1643,1820
185,109,25,1524
318,159,159,396
716,1275,1759,89
1694,1728,1567,1282
153,1587,796,54
46,677,373,76
1104,1018,122,1638
550,275,275,10
1766,883,883,882
1778,1779,369,68
1850,1850,1850,393
1226,1297,1645,1564
1793,1008,603,42
117,1379,605,704
498,1832,1109,1011
445,101,510,140
937,574,1314,996
1843,189,1607,1095
1404,673,640,262
170,340,170,378
485,995,1875,163
375,375,750,767
382,910,549,1290
616,42,1227,1364
301,1360,1797,1715
1235,1900,628,1171
768,1952,43,1582
724,64,579,629
376,686,56,1471
1682,1446,1315,638
317,247,168,1390
1603,1603,1603,928
1418,709,709,1982
1458,94,1257,145
1058,1386,285,1271
387,1215,1075,1123
681,1835,90,1386
1352,1465,1225,1310
1077,1077,1077,1675
1098,1462,1933,352
1729,543,1289,1839
773,1451,1480,1838
772,1182,792,1467
1948,1690,1870,1473
615,1095,988,263
1802,259,586,1112
80,206,243,1809
1542,1568,1553,616
1278,155,1687,854
208,208,416,409
1484,863,639,100
789,789,1578,1905
1911,1362,853,1507
1895,1895,1895,1479
720,720,1440,1041
683,1804,723,810
582,1688,1545,1433
1305,1042,1154,913
205,205,410,1425
1370,960,1350,178
375,1981,672,1896
1584,792,792,868
292,292,584,249
461,1879,343,1448
821,186,1001,205
1584,1148,1050,1523
825,1452,1200,1850
1544,122,1122,565
1561,1882,1386,250
416,208,208,1632
934,1127,1337,1196
1456,663,29,1188
1643,314,1224,19
1425,1425,1425,554
1566,783,783,1537
312,312,312,320
388,240,1390,1764
675,1594,126,1548
691,1382,691,106
74,74,148,507
44,1256,416,1986
581,1275,782,1242
1192,65,677,1042
1102,1552,1720,36
1555,432,1179,640
1813,1813,1813,589
1715,1707,1937,71
456,228,228,109
1623,1172,1076,108
1900,950,950,1422
1347,1360,429,1665
913,1826,913,1865
403,1135,456,1368
1531,1531,1531,1502
710,1346,1190,213
426,852,426,1792
1187,1589,158,950
1008,186,1574,1827
106,791,1961,291
107,107,214,318
821,821,1642,1027
716,716,1432,979
1477,1477,1477,1151
1162,581,581,695
1257,1304,1135,513
1902,670,1729,1143
1278,1364,471,1371
557,1417,732,1470
1741,1741,1741,448
927,716,530,661
1481,608,894,1488
552,552,1104,1707
698,848,21,322
142,836,75,958
1769,1355,1359,1902
154,308,154,601
1505,1278,1882,752
1902,951,951,622
1802,1858,635,1432
1568,784,784,1513
1956,461,992,224
1820,1865,1123,1596
1260,1629,836,770
314,953,1772,339
977,1254,1153,1425
693,1096,849,972
1177,845,1548,1353
199,398,199,1862
506,253,253,663
1751,110,1412,1067
590,1958,60,195
1555,1808,555,282
129,129,129,1768
196,1075,1234,1060
1376,1502,164,87
754,242,540,1827
1656,1656,1656,1835
769,1976,422,414
362,724,362,1120
1822,462,444,1767
484,968,484,713
483,966,483,1705
1723,627,295,1591
1487,1720,1509,1833
1608,1005,1613,1104
1218,642,1509,76
436,872,436,1522
1575,1002,461,936
1448,724,724,6
677,1354,677,1736
690,690,690,1648
1299,907,1971,277
757,1548,1507,1017
957,309,1973,1688
165,409,458,393
1275,282,144,1535
998,705,635,217
1720,235,485,82
1343,1807,876,55
124,1499,1981,831
567,533,476,1818
509,1205,562,337
1681,1660,1186,1744
1648,1589,1880,1907
1855,1222,731,356
55,55,110,983
1690,845,845,1624
1870,353,37,228
454,227,227,706
35,35,70,2000
8,8,16,222
768,1536,768,909
1829,1056,926,1345
242,121,121,837
762,1524,762,1043
339,431,1601,841
432,430,1486,139
936,1872,936,139
603,437,1114,1572
20,10,10,625
1208,604,604,583
486,1891,1902,1412
1742,1742,1742,636
1620,1944,1029,1029
611,1222,611,328
260,1157,1619,1467
1444,1316,376,606
907,907,907,1020
763,1526,763,38
184,1772,686,1606
1572,1283,848,1908
477,477,954,606
1987,1335,1264,1338
169,1693,267,1261
1837,1925,1469,1760
1460,1023,60,148
1494,898,624,73
712,712,712,675
1277,1314,545,104
968,170,512,183
1945,837,1231,911
1776,1776,1776,399
465,944,485,1299
469,469,938,1974
76,1596,1824,502
1124,1104,184,195
166,1445,1990,495
214,214,428,457
1670,337,190,760
898,238,978,1905
1687,1110,958,541
1809,1013,599,647
821,1859,1366,1084
591,591,1182,292
788,1996,540,478
1618,171,285,904
1036,1036,1036,840
1108,554,554,1117
924,23,817,1443
1302,717,368,538
855,1710,855,1147
661,116,1729,969
1750,211,19,1990
916,1990,769,953
883,883,1766,1417
1011,15,1010,522
1448,348,1440,1280
21,42,21,1496
1510,1944,1122,1497
1129,1044,1003,1217
921,1937,1246,1496
14,923,163,622
1056,682,135,1563
259,259,518,463
470,138,580,1827
692,346,346,222
1718,859,859,1561
954,477,477,566
789,1668,1629,1343
255,495,1629,810
1684,1428,1425,973
789,789,789,544
1049,839,1730,1980
972,992,1312,1024
179,1543,1400,481
770,770,1540,325
78,1496,1412,1446
1666,1485,1753,1273
1951,688,514,713
1169,826,1756,1117
980,1368,92,1034
690,690,690,706
1968,1406,1768,386
262,1175,652,1126
1573,1787,1028,1202
215,313,759,94
749,2000,438,566
242,1862,1447,164
1246,1246,1246,815
1787,1912,274,253
627,627,1254,124
898,449,449,867
409,409,409,1159
988,1976,988,863
37,1059,293,609
1617,1617,1617,1801
1320,665,1783,178
666,333,333,1826
1711,1026,1081,1879
937,1874,937,1106
804,804,1608,45
356,717,535,848
883,1342,489,779
788,788,788,97
1846,1168,1122,1959
954,477,477,373
440,220,220,1295
81,162,81,1416
431,431,431,1225
1256,628,628,973
108,1749,1342,1678
762,1547,1841,624
879,543,792,1408
1012,1304,1623,569
254,127,127,497
1305,1375,112,1673
316,945,392,9
1110,18,193,1864
453,1793,333,385
1275,1275,1275,184
480,480,960,898
1581,755,1368,940
188,188,376,909
1248,1248,1248,1002
632,75,432,1745
467,934,467,1109
1511,1511,1511,831
104,208,104,857
1807,1786,1000,1400
154,308,154,1436
842,1684,842,195
939,1878,939,1934
766,766,766,1235
1694,687,161,1524
857,1714,857,1922
1157,1157,1157,1610
1910,955,955,186
848,1696,848,685
1900,1778,1432,715
850,850,850,578
161,540,812,723
1974,1981,1804,1722
1860,930,930,1430
1569,574,1248,840
179,711,632,214
580,580,1160,1759
870,1744,1438,871
704,1408,704,444
350,82,1320,1702
1300,275,4,1080
218,1719,389,1199
935,1870,935,1794
1046,523,523,586
788,1261,645,197
50,50,100,288
559,559,1118,147
2000,2000,2000,904
881,881,1762,1199
962,325,911,1550
1827,503,222,153
1227,1436,1334,1068
1484,742,742,535
50,100,50,1360
1144,303,835,1320
1160,1160,1160,902
670,874,1353,263
1042,521,521,113
295,295,590,1023
60,60,60,925
1803,1803,1803,660
871,871,871,1341
798,798,798,586
39,377,1157,484
1032,1673,731,839
181,181,181,1155
974,1037,976,1403
407,407,407,1933
1179,1403,538,165
1444,722,722,1908
925,796,1119,1725
599,599,599,1485
732,732,1464,82
1607,1363,1201,240
1881,322,887,1311
868,1246,1781,287
563,1953,609,1492
1534,511,625,1525
899,1574,863,1810
1930,1491,1377,1122
1039,167,764,1874
444,222,222,793
734,367,367,1758
795,64,166,653
316,316,632,83
794,391,326,919
79,1024,841,1243
1180,590,590,1369
774,774,774,1656
338,362,1044,182
1985,316,1385,71
1844,922,922,164
236,236,472,1703
859,1615,1694,1024
46,23,23,784
342,175,735,752
162,324,162,1275
209,418,209,461
960,1140,1459,1042
1196,697,268,364
887,887,1774,1792
234,1242,1437,1991
152,152,304,286
1320,1388,1701,229
528,1216,782,1870
1793,1251,871,1593
630,315,315,127
100,100,200,387
446,223,223,1477
385,1899,1391,1007
299,598,299,516
1593,1916,872,1898
148,93,1178,1938
1081,814,19,831
712,126,744,50
1382,691,691,1336
137,615,810,350
161,1034,200,694
255,255,510,91
1669,630,998,1138
1366,889,1482,1490
1313,1423,1193,1244
1240,865,913,1641
1631,1652,1252,1017
1496,1496,1496,1966
988,988,1976,1228
1322,1322,1322,668
977,1213,954,1706
1272,599,1129,1001
182,364,182,1333
1805,1419,75,1949
1620,810,810,1531
888,888,1776,723
22,22,44,909
948,321,1408,485
1102,1102,1102,420
946,1377,1291,1933
407,232,572,1024
22,1320,1005,1827
1967,1352,672,1066
527,527,527,1533
1773,1037,1849,1828
741,741,1482,655
771,30,767,1729
1102,1853,147,1794
915,915,915,1009
756,378,378,1788
1867,1522,1124,563
498,249,249,1425
99,835,670,1800
1946,1946,1946,312
1748,1463,627,1224
475,950,475,584
228,1678,113,1699
954,954,1908,722
305,1383,1211,1783
114,114,228,717
1638,1638,1638,237
1006,1235,1973,1261
462,1522,1345,1426
558,279,279,1719
1218,1995,1148,1728
1283,1593,892,721
1777,1857,355,633
166,83,83,216
572,1914,708,1765
1052,1052,1052,807
1095,996,620,207
124,1345,1947,160
1237,807,1102,733
610,625,612,1102
408,816,408,1733
982,982,982,862
422,463,1781,912
1754,739,316,323
1505,605,787,10
410,820,410,270
1291,312,1116,1397
319,319,638,1504
233,466,233,1860
540,270,270,1589
531,1067,1879,394
1126,1126,1126,485
398,766,1362,898
721,778,1185,1561
124,442,376,1569
805,805,1610,1327
465,1163,103,568
1321,1464,1962,596
480,1973,1353,231
670,670,1340,1522
835,170,1666,1269
1916,958,958,981
32,1459,580,500
1513,669,1040,1706
205,444,473,1900
1088,1257,1442,1406
334,167,167,1158
937,980,1302,1393
104,1891,1829,570
1081,1835,1207,1465
941,941,941,162
613,1551,1058,232
1580,1163,1815,1395
1296,1739,290,1640
435,870,435,734
1361,727,1182,1885
415,1242,688,1045
326,326,652,677
624,1248,624,682
1560,780,780,317
406,406,812,285
229,892,364,365
429,966,1687,155
233,1073,8,546
683,539,502,655
1341,1207,90,1316
489,489,489,368
1841,1574,1796,1155
378,378,756,1810
1838,205,474,1130
28,28,56,1542
68,34,34,428
271,542,271,1426
1161,1178,235,1812
592,1184,592,1017
1588,794,794,1462
238,119,119,760
1419,1794,1658,1802
123,1871,838,102
676,338,338,1902
91,182,91,406
38,38,38,1146
67,252,1336,1719
960,960,1920,1187
159,318,159,1901
565,565,1130,307
398,263,1420,1920
639,639,1278,1884
906,1014,133,453
950,950,950,898
689,689,689,526
302,1660,1223,593
660,1004,861,390
209,418,209,1878
1492,746,746,318
501,327,855,948
687,1374,687,17
818,1575,122,43
630,630,1260,1727
657,217,1725,1030
1882,1772,1941,1533
1679,207,269,1661
1268,482,1209,501
738,369,369,319
1431,1414,414,1738
122,244,122,659
669,879,626,598
160,1007,1065,1250
566,111,129,1139
953,1805,1217,1881
687,1795,231,1347
116,1010,94,1646
1529,265,907,1637
634,1840,1665,268
261,261,522,764
666,1274,614,786
1851,706,964,1351
1916,609,268,1505
859,859,1718,1372
1361,1361,1361,681
27,1211,1900,1396
1320,660,660,183
1387,1387,1387,947
902,1804,902,1895
169,1418,11,1476
539,539,1078,882
1089,1155,72,351
1175,1858,164,982
1128,1128,1128,895
1667,1065,1808,1397
1947,246,1261,1541
337,337,674,1882
1070,1502,68,619
354,708,354,634
1477,626,674,1981
383,1868,1731,1107
1162,581,581,1902
95,188,188,412
1989,210,1174,1583
1781,812,313,133
1328,1427,1430,404
1260,1260,1260,982
1863,932,1101,1652
790,1584,1214,678
354,354,708,188
889,965,1803,1700
1812,1094,208,475
458,458,916,588
1031,777,1077,570
1406,703,703,379
1005,1005,1005,1431
85,1405,764,1849
1534,767,767,1322
1947,18,1026,239
1943,1416,443,1398
1494,286,985,831
644,19,344,776
882,882,882,968
1858,929,929,1716
599,61,1165,30
1825,813,1864,595
106,53,53,1450
1916,268,96,968
88,616,207,556
995,995,1990,1896
574,574,1148,175
970,818,1822,220
686,1372,686,1009
268,134,134,1030
479,188,650,434
433,1880,794,526
26,1100,723,536
1233,1890,1967,1642
922,1511,1345,1399
771,771,1542,315
1872,731,1670,1861
1851,109,758,1773
1391,1020,715,82
1970,797,1022,698
254,1441,255,1336
440,440,880,524
1029,1671,337,437
122,757,1193,1520
1352,1352,1352,1560
1236,618,618,1669
433,1224,232,1383
1617,1862,1950,1157
407,407,814,1243
1697,876,1310,983
266,373,1486,1331
1050,1050,1050,96
1264,1904,1523,1814
221,1941,1780,967
1558,1182,1922,533
541,140,1557,700
876,438,438,853
1127,595,1560,1324
26,26,52,686
648,616,256,1775
168,336,168,696
387,774,387,1830
1624,812,812,124
494,247,247,1505
1953,156,777,530
1849,1849,1849,1447
888,1725,247,346
352,352,704,919
199,398,199,329
238,1700,1706,1691
778,1556,778,1912
1320,1320,1320,1833
1543,753,1435,28
951,1386,1643,150
864,1728,864,297
1949,1657,1036,74
69,591,1719,303
69,178,1310,1919
419,838,419,127
171,354,1897,1974
531,1397,1869,310
1506,613,750,132
285,258,1863,498
56,1167,948,1241
578,289,289,1000
321,642,321,1124
241,482,241,215
534,721,860,1914
532,266,266,921
636,636,1272,1550
931,931,1862,909
590,1273,995,498
1544,1012,930,977
287,574,287,1733
327,654,327,1534
558,871,1472,975
694,694,1388,1089
1269,556,100,1612
1149,1149,1149,1060
1714,39,1895,873
1649,227,157,473
934,934,934,1749
932,1025,893,1013
708,708,1416,1256
390,390,390,1821
145,1118,1071,43
263,1515,1720,1510
621,1242,621,119
32,64,32,1247
392,610,1423,1027
409,409,818,1990
42,54,524,1105
1249,1618,1917,774
799,745,1633,529
1504,1536,937,1550
20,40,20,585
1209,116,986,1066
1912,1734,1963,51
439,439,878,438
407,1340,1750,635
236,472,236,1286
364,772,559,1434
1810,670,1094,117
638,638,638,1275
1264,58,473,1031
693,1578,495,1642
304,304,608,1274
5,5,5,1605
754,712,346,400
909,768,920,1455
1210,605,605,1894
1868,1659,377,124
772,1573,1155,524
866,441,1985,1766
1141,1141,1141,787
1930,940,1919,345
190,380,190,1141
954,1908,954,656
712,258,1861,1531
1294,1294,1294,543
1967,1526,827,993
441,585,586,1283
275,550,275,461
451,451,451,1258
309,620,113,1963
949,1612,1131,892
527,498,437,347
1085,1085,1085,85
601,1992,1714,644
790,1354,1327,933
786,786,1572,246
521,1225,1827,130
498,377,1163,390
952,476,476,1405
927,1187,1815,1940
1480,1775,184,920
1120,1335,265,1351
653,653,1306,149
942,771,412,1458
1442,721,721,1648
1089,1089,1089,981
1552,776,776,311
697,1382,1215,1408
1521,1743,582,449
1783,362,369,1093
103,103,103,207
1676,49,1750,990
441,882,441,535
1994,997,997,533
847,1429,1051,1991
384,768,384,1255
685,1370,685,316
51,552,1172,740
1337,1337,1337,1439
162,1879,1212,440
425,1558,966,553
181,362,181,644
1668,327,1514,1938
1870,465,799,501
153,153,306,249
742,742,742,788
749,1498,749,1379
87,87,87,1809
466,259,1868,740
800,134,1309,526
1694,847,847,1067
1141,642,472,1699
1643,1643,1643,814
982,2000,232,326
540,540,1080,1093
1439,726,972,324
761,761,1522,1769
1984,992,992,1735
396,1450,198,1648
291,291,582,107
647,1048,1264,1865
1747,1438,897,177
1232,1232,1232,1964
642,1807,973,1757
908,908,908,42
1313,1122,786,1732
1408,892,888,399
1641,398,763,923
343,343,343,820
93,842,1958,1830
756,1371,1239,218
375,750,375,343
1633,1883,1934,1732
403,226,1398,564
538,538,1076,471
635,1851,1345,168
286,143,143,425
1547,1048,1962,1476
1532,766,766,216
1733,762,1135,1664
933,933,933,1745
895,895,1790,871
1671,1671,1671,20
1687,414,882,1506
845,845,1690,521
1776,54,404,469
647,1294,647,69
93,186,93,1013
986,493,493,119
471,1013,468,596
1481,1515,1898,1412
125,125,250,579
1941,829,562,193
1229,1485,357,1949
75,1309,1461,432
1663,1757,949,1628
796,796,1592,1056
327,327,327,1735
928,1190,666,1175
148,985,646,1191
42,42,84,1257
1764,213,7,1714
666,666,1332,1609
1568,847,901,1754
1193,63,985,1756
583,583,1166,116
1627,1623,1943,1663
430,860,430,478
301,301,602,1756
308,308,308,1056
732,732,732,404
1698,1665,285,1939
1479,1479,1479,251
554,554,554,452
196,98,98,991
1538,1257,1563,1877
1819,980,1769,1332
836,836,1672,323
445,732,1669,1522
1846,1124,1892,57
25,1182,1037,1413
208,416,208,1329
1714,857,857,1695
919,1838,919,1868
1551,689,723,1694
412,206,206,575
803,803,803,412
69,1736,1970,1602
151,459,788,145
1196,1478,1948,557
214,65,1326,1208
320,160,160,955
800,1074,303,802
510,255,255,1050
1718,20,346,866
1508,1710,1328,955
633,1266,633,1322
1658,1238,1438,787
706,353,353,1841
1268,1268,1268,900
1008,39,414,192
584,584,1168,1295
1575,1597,126,1981
917,1834,917,1008
1411,241,1445,303
461,461,922,1605
1956,978,978,30
66,132,66,1099
637,766,1966,143
314,157,157,517
278,139,139,1563
1817,1999,70,1658
823,1318,1891,1717
1963,726,1606,531
1953,1422,712,448
353,901,1903,1263
595,203,1996,1115
1852,1811,962,1178
1159,92,355,1153
20,10,10,1318
420,1743,1798,33
1681,1251,1863,1849
1805,1876,1234,1805
603,988,212,157
1420,406,1742,305
1580,315,26,1115
579,579,1158,229
252,280,433,184
1202,1588,1569,1489
1580,380,668,1167
1468,1467,1157,197
604,302,302,1346
1633,689,1465,367
1824,1485,59,52
1464,1464,1464,631
376,376,752,1389
1127,1284,1516,1235
491,982,491,1348
1908,1467,57,1642
400,200,200,1746
336,600,1215,149
1603,488,1280,243
706,353,353,455
944,472,472,466
1790,556,1797,832
232,116,116,1769
157,1235,417,835
106,1970,958,1207
710,710,710,1747
720,1440,720,169
573,573,1146,1374
959,1601,1760,960
1930,965,965,1306
317,634,317,1303
247,247,494,1453
584,1168,584,207
726,1452,726,752
1537,1543,1105,589
326,326,652,393
565,1758,122,933
230,115,115,1981
653,116,52,806
739,42,784,750
1529,652,1431,1221
163,467,1900,1991
167,167,334,1006
490,980,490,1966
639,1278,639,61
1052,537,1100,1886
1632,570,1465,1351
88,88,88,1983
211,6,127,605
1867,173,88,176
920,460,460,1535
1629,1087,1420,267
1235,1497,603,1842
720,360,360,1009
159,1225,1237,1581
1834,917,917,1686
770,1028,1638,1844
704,1127,1396,966
1822,665,605,1488
1409,1858,1096,582
850,1436,1822,866
335,670,335,469
1394,544,305,258
1473,1006,146,757
1003,785,683,1060
728,1456,728,569
905,905,1810,760
1143,584,1418,839
121,419,1180,1936
1730,213,1610,84
67,36,943,677
805,805,1610,1595
1495,1156,684,924
1593,1653,572,437
736,736,1472,1251
1404,702,702,428
827,1811,1859,351
1672,1417,1342,292
877,1754,877,1490
562,855,1083,1267
1872,1131,1869,1833
953,351,674,1348
134,67,67,1197
1268,634,634,1887
1410,1433,1110,1638
820,1640,820,633
210,100,615,1504
315,985,224,927
1234,617,617,35
1512,756,756,92
1510,256,153,1657
1070,727,1410,1829
512,1024,512,1437
1126,1491,539,256
254,254,508,1231
2,2,2,1122
1430,184,1108,1885
594,1146,1477,599
917,1834,917,1782
734,367,367,17
517,1034,517,878
1592,169,1652,1872
1916,405,1423,1096
234,126,967,1108
460,1567,510,1713
743,743,1486,1498
558,1790,1389,1190
1029,1599,1951,1680
1041,366,1079,1880
658,658,1316,142
615,794,170,1421
527,1054,527,562
586,1918,1262,1869
385,385,770,1844
692,976,284,1845
275,275,275,26
482,1701,981,299
842,329,1089,994
1843,1843,1843,829
1408,1242,1074,38
53,1043,137,1470
1411,1578,1434,626
1359,1153,957,1411
1830,972,1132,148
726,1452,726,181
371,371,371,1350
1858,832,1149,958
1782,1534,567,1399
436,515,1743,853
1755,1715,1525,1708
890,890,890,1265
1471,889,1853,1214
1006,503,503,1259
1427,673,1599,1095
847,139,122,317
930,1036,609,1418
1114,939,867,1902
433,866,433,1182
92,403,261,1605
638,638,1276,1367
250,500,250,1684
1948,196,789,1193
1996,1996,1996,1126
969,1412,1515,995
474,485,1406,821
621,500,1867,1595
606,1653,392,1880
916,458,458,764
990,495,495,95
648,324,324,1109
1684,842,842,831
660,141,1700,1597
965,520,853,387
501,112,1232,1342
537,1074,537,1152
937,99,1474,1250
746,746,746,1013
886,1772,886,1135
1424,712,712,1672
1877,602,1144,1738
86,86,86,481
1416,1421,854,645
1272,480,1355,1261
623,973,1786,1398
328,1911,1461,384
812,1562,239,1433
74,1423,1506,78
399,1771,35,280
1207,337,747,1441
1076,1240,1115,1145
1941,1949,81,1764
1605,1630,53,652
646,646,1292,626
925,89,1779,1149
751,751,1502,1888
748,748,748,1495
72,36,36,1822
3,3,6,229
1685,1757,1961,92
1028,1028,1028,1804
800,800,1600,1817
1760,439,1469,1830
1112,248,344,1767
902,1321,1914,1675
1639,552,822,1426
420,420,840,398
1204,602,602,660
1867,250,890,1809
11,22,11,461
1147,1731,1103,1749
1899,941,373,572
1837,1096,1964,1828
197,197,197,1415
1122,1325,974,98
815,1896,739,1293
1694,1694,1694,1810
1598,694,978,1342
1066,533,533,1212
1461,913,1061,1739
16,16,32,1676
776,899,762,1181
1402,1937,1169,1241
822,822,1644,575
150,15,109,702
1598,1195,1641,538
1233,267,1751,1660
972,486,486,1527
787,735,26,1601
1941,1974,1674,339
107,107,214,1018
180,1979,707,802
87,87,174,1686
627,204,1736,1704
356,178,178,872
969,969,969,1323
205,1806,1721,1399
1183,1183,1183,1254
290,1077,1550,1144
634,634,1268,214
1774,887,887,1607
420,1024,1872,544
813,1839,1590,1495
355,517,1907,677
776,368,471,1063
202,404,202,195
960,960,1920,1752
496,496,992,857
1036,518,518,752
1312,52,1820,571
908,1514,1907,170
1980,990,990,1880
321,129,1881,389
213,1506,41,1531
394,1336,1786,216
642,583,1117,392
102,1101,662,1888
252,81,550,1044
112,735,1923,176
291,548,1586,502
1986,1219,363,1594
1886,1886,1886,803
1483,70,993,297
700,1898,568,796
1017,1082,1546,1777
937,937,937,831
872,1213,1941,1818
277,554,277,76
583,1166,583,1496
1546,1816,1653,235
766,766,1532,1253
85,1635,939,507
566,566,1132,950
1168,932,1791,1272
320,309,1508,1823
1320,660,660,1779
1110,1110,1110,1868
1490,745,745,516
701,880,1904,528
1637,1637,1637,1656
33,33,33,1434
886,773,1578,1731
1668,834,834,1865
1532,113,1718,1560
